GarageFinish,GrLivArea,MasVnrArea,OverallQual,YearBuilt,SalePrice
2,3.0285712526925375,0.0,6,1963,5.188928483760853
2,3.4186326873540653,362.0,8,1994,5.511883360978874
1,3.011993114659257,0.0,5,1927,5.060697840353612
1,3.2211533219547053,0.0,6,1947,5.201397124320452
3,3.2095150145426308,70.0,9,2007,5.498999363580153
1,2.7993405494535817,0.0,4,1972,4.8779469516291885
1,3.2909245593827543,312.0,7,1939,5.493458050995189
1,3.1631613749770184,0.0,6,1978,5.164352855784437
1,2.7993405494535817,0.0,4,1970,4.926856708949693
1,3.1439511164239633,0.0,5,1955,5.131939295210425
1,3.1693804953119495,0.0,7,1928,5.161368002234975
2,2.941511432634403,0.0,5,1968,5.113943352306837
2,2.951337518795918,0.0,3,1935,4.9084850188786495
2,3.1861083798132053,168.0,7,2004,5.330413773349191
2,3.2278867046136734,0.0,6,2000,5.2576785748691846
1,3.0034605321095067,0.0,5,1953,5.128722284338427
3,3.235528446907549,0.0,7,2004,5.2636360685881085
1,3.0546130545568877,45.0,5,1960,5.1303337684950066
1,3.0051805125037805,0.0,6,1920,5.073351702386901
2,3.1699681739968923,167.0,7,2003,5.354108439147401
2,3.255995726722402,67.0,5,1957,5.190331698170292
2,3.2013971243204513,0.0,8,2008,5.3222192947339195
3,3.1690863574870227,0.0,6,2005,5.239299479126893
3,2.9712758487381055,0.0,5,1956,5.110589710299249
3,3.1556396337597765,0.0,7,1999,5.283301228703549
2,3.0788191830988487,0.0,6,1993,5.187238619831478
3,3.1271047983648077,0.0,7,2007,5.257999977793136
1,2.936513742478893,0.0,4,1951,5.14921911265538
3,3.2052043639481447,0.0,6,1997,5.2576785748691846
1,3.130976691605617,0.0,7,2006,5.319938439980309
1,3.097604328874411,0.0,5,1908,5.103803720955957
2,3.3109056293761414,292.0,7,2003,5.453318340047038
1,3.4893959217271293,0.0,5,1946,5.302114376956201
1,2.9786369483844743,0.0,4,1956,5.132739838260885
2,3.2137832993353044,208.0,8,2006,5.4065401804339555
1,3.055378331375,0.0,6,1965,5.146128035678238
1,3.2796669440484556,0.0,5,1950,5.139879086401237
3,3.285107029566812,0.0,7,2003,5.3414345245781405
2,3.401400540781544,0.0,8,1993,5.491361693834273
1,2.94546858513182,0.0,5,1956,4.986771734266245
1,3.0704073217401198,0.0,6,1934,5.058805486675907
2,3.3242824552976926,0.0,7,1994,5.311753861055754
1,2.9777236052888476,0.0,5,1971,5.077367905284157
2,3.3100557377508917,306.0,8,2008,5.403623187803259
1,2.9947569445876283,57.0,5,1961,5.108903127667314
1,3.3443922736851106,0.0,6,1880,5.0700378666077555
1,2.959994838328416,0.0,5,1964,5.060697840353612
1,2.9800033715837464,0.0,5,1966,5.103803720955957
2,3.360971883725936,420.0,10,2008,5.655090390729039
1,3.182984967003582,180.0,5,1958,5.158362492095249
1,2.9947569445876283,0.0,5,1950,5.075546961392531
2,3.1950689964685903,0.0,6,1977,5.292256071356476
3,3.1152775913959014,0.0,5,1976,5.060697840353612
3,3.462098381135156,0.0,8,1976,5.457881896733992
3,2.9283958522567137,169.0,6,2004,5.159867847092567
1,3.2390490931401916,0.0,7,2005,5.414973347970818
1,3.249198357391113,137.0,7,1993,5.328379603438738
2,3.0515383905153275,0.0,5,1977,5.243038048686294
1,3.0480531731156093,0.0,6,1976,5.02938377768521
1,2.9175055095525466,0.0,5,1955,5.031408464251625
1,2.716003343634799,0.0,4,1927,4.835690571492425
2,3.095518042323151,0.0,5,1959,5.1875207208364635
1,3.3932241163612975,344.0,8,2004,5.501059262217751
1,3.177824971864682,284.0,9,2008,5.421821019842061
3,3.249442961442582,100.0,8,2006,5.4524963791213095
1,3.334051440346892,0.0,6,1950,5.385606273598312
1,3.0145205387579237,0.0,5,1940,5.037426497940624
3,3.3544926005894364,226.0,8,2003,5.484299839346786
1,2.9885589568786157,0.0,5,1991,4.970811610872518
1,3.163757523981956,1129.0,6,1999,5.2455126678141495
1,3.1861083798132053,0.0,5,1979,5.075028418196534
1,3.0831441431430524,0.0,5,1968,5.127104798364807
1,2.957607287060095,0.0,4,1957,5.0374583715953225
1,3.0170333392987803,0.0,3,1950,4.970811610872518
3,3.3736474722092176,760.0,9,2009,5.786507950304687
1,3.1109262422664203,0.0,6,1996,5.238046103128795
3,3.3787611753163733,423.0,8,1997,5.541579243946581
2,3.383456296524753,651.0,7,1993,5.532754378992498
2,3.060697840353612,0.0,5,1959,5.14921911265538
1,2.8920946026904804,0.0,5,1972,5.096562438374136
1,2.9943171526696366,510.0,6,1972,5.071882007306125
1,3.0322157032979815,0.0,5,1920,4.826074802700827
2,2.9947569445876283,0.0,5,1954,5.05307844348342
1,2.9474337218870508,0.0,5,1938,4.960470777534299
3,3.146128035678238,203.0,6,1978,5.174641192660449
1,3.196728722623287,0.0,4,1935,5.123851640967086
2,3.2875778090787056,0.0,8,2006,5.424881636631067
2,3.1622656142980214,0.0,7,1986,5.278753600952829
2,2.9283958522567137,169.0,6,2004,5.192846115188842
3,3.1631613749770184,0.0,7,2006,5.1926650053248045
1,3.192846115188842,0.0,5,1948,5.186108379813206
3,3.2095150145426308,263.0,5,1969,5.181843587944773
1,2.9116901587538613,0.0,5,1982,5.095169351431755
1,3.436162647040756,172.0,7,1986,5.478566495593843
1,3.2474822606770544,0.0,4,1968,5.135132651376775
3,3.1192558892779365,0.0,6,2005,5.2304233738926404
1,3.189770956346874,0.0,7,1925,5.311753861055754
1,3.161966616364075,218.0,7,1999,5.264581729238078
1,3.175511813363448,0.0,7,2006,5.311541958401195
2,3.3716219271760215,278.0,7,1980,5.414973347970818
1,3.219322508419337,0.0,6,1970,5.213517756996305
1,3.2474822606770544,252.0,7,2003,5.351989455435632
3,3.3469394626989906,1115.0,7,1973,5.38738982633873
1,2.931457870689005,0.0,7,1929,5.12057393120585
1,3.1559430179718366,0.0,5,1978,5.2878017299302265
2,3.1696744340588068,0.0,6,1957,5.194514341882467
2,3.0111473607757975,0.0,6,1969,5.193124598354462
2,3.241048150671644,0.0,8,1985,5.439332693830263
1,2.99563519459755,0.0,5,1994,5.161368002234975
1,3.3180633349627615,192.0,5,1969,5.1303337684950066
1,2.9030899869919438,0.0,2,1936,4.778151250383644
1,3.0170333392987803,136.0,5,1978,5.093421685162235
1,3.0170333392987803,0.0,5,1962,5.103803720955957
1,3.179838928023187,0.0,5,1920,5.138302698166282
1,3.2545480771089736,0.0,7,2006,5.329397879361043
1,2.905256048748451,294.0,5,1940,5.075546961392531
1,2.954724790979063,0.0,4,1954,5.033021444682911
1,2.940516484932567,0.0,4,1971,5.089905111439398
1,3.279210512601395,0.0,6,1978,5.049218022670182
1,3.2119210843085093,296.0,8,2003,5.453318340047038
3,2.884795363948981,182.0,7,1998,5.123851640967086
2,2.9283958522567137,205.0,6,2004,5.173186268412274
3,3.204119982655925,0.0,6,1997,5.227886704613674
1,3.2667019668840878,0.0,6,1923,5.315970345456917
1,3.149834696715785,0.0,6,1988,5.243038048686294
1,2.9708116108725178,114.0,5,1965,5.136720567156407
3,3.3533390953113047,0.0,7,2000,5.372912002970106
1,2.9708116108725178,0.0,5,1930,4.9003671286564705
1,3.0409976924234905,0.0,5,1995,5.158362492095249
2,3.2211533219547053,0.0,7,1976,5.21192108430851
2,3.1992064791616577,0.0,7,2004,5.269279389771898
2,3.3070679506612985,208.0,8,2005,5.5680843313153945
2,3.250175948083925,0.0,7,1998,5.296445794206396
1,3.3481100684802376,0.0,6,1912,5.017033339298781
1,2.681241237375587,0.0,2,1949,4.547910016864493
3,3.2350231594952237,230.0,10,2006,5.528273777167044
3,3.2309595557485693,766.0,9,2008,5.565013833904306
1,2.9722028383790646,0.0,5,1975,5.114777731971562
1,3.218535505216528,295.0,7,2002,5.361727836017593
3,3.635081436010873,1170.0,10,1994,5.8779469516291885
3,3.446226401778163,506.0,8,1995,5.605305046141109
1,2.967547976218862,0.0,5,1956,5.12057393120585
3,3.238547887681328,336.0,6,1985,5.250420002308894
1,3.228913405994688,0.0,6,1925,5.135132651376775
3,3.0236639181977933,0.0,5,1955,5.161368002234975
2,2.9542425094393248,0.0,5,1967,5.089905111439398
3,3.313234291694724,0.0,7,1936,5.3979400086720375
2,3.155336037465062,0.0,7,2001,5.27207378750001
3,2.885361220031512,0.0,5,1972,5.126780577012009
1,2.936513742478893,0.0,3,1914,4.826074802700827
1,3.0718820073061255,0.0,4,1922,5.138302698166282
2,3.129689892199301,266.0,6,1966,5.190331698170292
1,3.400537989391946,103.685261707989,6,1957,5.302382885035854
1,3.356790460351716,361.0,5,1960,5.188365926063148
1,3.0322157032979815,0.0,3,1922,4.959041392321094
1,3.2533380053261065,0.0,5,1974,5.133538908370218
1,3.0996806411092503,0.0,4,1969,5.03726310873469
1,3.1383026981662816,0.0,6,1954,5.146128035678238
1,2.781755374652469,0.0,4,1920,4.9344984512435675
