1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice,IsRenovated,IsOld,House_Age_Group
1494,0.0,3.0,3,840,2,2006.0,1494,3,306.0,33,5,7,1494,2006,2007,279500,1,False,New
1479,0.0,3.0,3,558,2,2003.0,1479,3,167.0,29,5,7,1453,2003,2003,226000,0,False,New
804,670.0,3.0,0,400,3,1995.0,1474,2,22.0,72,5,7,384,1995,1996,168500,1,False,Old
1588,0.0,3.0,3,472,2,1999.0,1588,3,183.0,29,5,7,1588,1999,1999,214000,0,False,Old
774,656.0,3.0,0,400,3,2000.0,1430,2,0.0,0,5,7,384,2000,2000,180000,0,False,New
1501,0.0,3.0,1,577,2,1999.0,1501,3,183.0,29,5,7,1490,1999,1999,204000,0,False,Old
1541,0.0,3.0,2,532,1,2005.0,1541,3,226.0,70,5,7,1541,2005,2005,220000,0,False,New
725,754.0,4.0,0,484,3,1972.0,1479,3,138.0,32,9,7,725,1972,2004,184000,1,False,Old
1431,0.0,3.0,3,666,3,1999.0,1431,3,0.0,35,5,7,1431,1999,1999,192000,0,False,Old
1442,0.0,3.0,0,500,1,1990.0,1442,2,0.0,34,5,7,1424,1990,1990,180500,0,False,Old
1436,0.0,3.0,2,484,1,2004.0,1436,3,266.0,98,5,7,1436,2004,2004,210000,0,False,New
1498,0.0,2.0,2,675,1,2006.0,1498,3,0.0,33,5,7,1498,2006,2006,204900,0,False,New
1555,0.0,2.0,3,430,3,2005.0,1555,3,16.0,20,5,7,1373,2005,2006,192500,1,False,New
1414,0.0,3.0,3,494,2,2004.0,1414,3,98.0,105,5,7,1414,2004,2004,185500,0,False,New
1604,0.0,3.0,0,660,2,2006.0,1604,3,180.0,110,5,7,1604,2006,2006,220000,0,False,New
1363,0.0,2.0,1,439,1,1954.0,1363,2,0.0,0,7,7,1385,1954,2005,241500,1,True,Old
952,596.0,3.0,0,672,1,1978.0,1548,4,0.0,0,7,7,952,1925,2007,205000,1,True,Old
1560,0.0,3.0,0,573,3,2003.0,1560,3,0.0,150,5,7,1560,2003,2003,201000,0,False,New
1541,0.0,3.0,0,843,2,2001.0,1541,3,150.0,81,5,7,1541,2001,2002,205000,1,False,New
832,809.0,3.0,0,546,1,1925.0,1641,4,0.0,0,7,7,728,1925,1990,178000,1,True,Old
716,716.0,3.0,0,432,3,2004.0,1432,3,0.0,51,5,7,716,2004,2005,188500,1,False,New
1472,0.0,3.0,3,588,1,1980.0,1472,2,225.0,48,5,7,1372,1980,1980,187500,0,False,Old
1358,0.0,2.0,3,484,2,2004.0,1358,3,146.0,30,5,7,1358,2004,2004,207000,0,False,New
1536,0.0,3.0,3,532,2,2002.0,1536,3,113.0,74,5,7,1536,2002,2003,214000,1,False,New
1621,0.0,3.0,2,440,1,1984.0,1621,3,0.0,45,7,7,1208,1984,1998,202500,1,False,Old
764,862.0,2.0,0,474,2,2003.0,1626,3,106.0,27,5,7,764,2003,2004,154000,1,False,New
1453,0.0,3.0,1,445,2,1986.0,1453,3,0.0,80,5,7,1453,1986,1986,190000,0,False,Old
1479,0.0,3.0,0,577,2,1999.0,1479,3,125.0,25,5,7,1468,1999,2000,191000,1,False,Old
1112,438.0,2.0,0,438,3,2007.0,1550,3,100.0,168,5,7,1092,2006,2007,241000,1,False,New
1478,0.0,2.0,3,484,3,2009.0,1478,3,432.0,144,5,7,1470,2009,2009,222000,0,False,New
707,682.0,3.0,0,240,1,1947.0,1389,2,0.0,0,8,7,651,1946,1992,135000,1,True,Old
1644,0.0,2.0,1,569,3,1989.0,1644,3,145.0,0,5,7,1518,1989,1989,275000,0,False,Old
1533,0.0,2.0,1,576,1,1975.0,1533,3,0.0,54,5,7,1533,1975,1975,280000,0,False,Old
1414,0.0,2.0,0,398,3,2004.0,1414,3,18.0,20,5,7,1375,2004,2004,178740,0,False,New
689,689.0,3.0,0,360,1,1928.0,1378,3,0.0,0,9,7,689,1928,2005,161000,1,True,Old
1368,0.0,2.0,0,474,1,2005.0,1368,3,94.0,35,5,7,1368,2005,2006,202665,1,False,New
664,0.0,3.0,3,426,2,2006.0,1496,3,0.0,24,5,7,654,2006,2006,179665,0,False,New
729,717.0,3.0,1,406,1,1996.0,1446,2,0.0,22,5,7,729,1996,1997,175000,1,False,Old
1557,0.0,2.0,1,420,3,2003.0,1557,3,18.0,20,5,7,1374,2003,2004,234000,1,False,New
1535,0.0,3.0,0,532,2,2004.0,1535,3,168.0,0,5,7,1517,2004,2004,214000,0,False,New
774,656.0,3.0,0,400,2,2000.0,1430,2,0.0,0,5,7,384,2000,2000,170000,0,False,New
877,600.0,3.0,0,216,1,1928.0,1477,2,0.0,50,7,7,861,1928,1950,145000,1,True,Old
703,689.0,2.0,0,540,1,2007.0,1392,3,0.0,102,5,7,689,2007,2007,146000,0,False,New
770,812.0,3.0,0,520,2,2004.0,1582,3,0.0,45,5,7,770,2004,2004,185900,0,False,New
1402,0.0,2.0,3,648,3,2006.0,1402,3,72.0,16,5,7,1258,2006,2007,194201,1,False,New
1494,0.0,3.0,2,530,2,2002.0,1494,3,99.0,36,5,7,1494,2002,2002,221000,0,False,New
1411,0.0,3.0,0,544,3,1977.0,1411,2,209.0,0,5,7,1386,1977,1977,82500,0,False,Old
851,651.0,3.0,0,270,2,1931.0,1502,2,0.0,0,6,7,776,1931,2000,149000,1,True,Old
1391,0.0,2.0,2,530,1,2004.0,1391,3,0.0,158,5,7,1391,2004,2004,196000,0,False,New
1484,0.0,3.0,3,606,2,2004.0,1484,3,109.0,35,5,7,1473,2004,2005,213000,1,False,New
728,728.0,3.0,3,400,3,2007.0,1456,3,0.0,24,5,7,728,2007,2007,179540,0,False,New
757,0.0,3.0,0,440,1,1999.0,1501,2,360.0,0,5,7,744,1999,1999,179400,0,False,Old
764,783.0,3.0,2,614,1,2009.0,1547,3,0.0,45,5,7,756,2009,2009,215200,0,False,New
1614,0.0,3.0,3,865,2,2005.0,1614,3,240.0,59,5,7,1614,2005,2006,221500,1,False,New
1430,0.0,3.0,0,605,2,2001.0,1430,3,0.0,33,5,7,1413,2001,2002,187100,1,False,New
728,728.0,3.0,3,410,3,2005.0,1456,3,0.0,18,5,7,728,2005,2005,189000,0,False,New
1428,0.0,3.0,0,554,2,2008.0,1428,4,256.0,60,5,7,1417,2008,2008,227680,0,False,New
1358,0.0,3.0,2,484,2,2010.0,1358,3,128.0,35,5,7,1358,2009,2010,224000,1,False,New
798,0.0,3.0,0,595,2,2003.0,1640,3,0.0,45,5,7,798,2003,2003,183000,0,False,New
1434,0.0,3.0,0,527,2,2001.0,1434,3,0.0,39,5,7,1454,2001,2001,189000,0,False,New
918,728.0,4.0,0,240,1,1941.0,1646,2,0.0,0,5,7,918,1941,1950,164000,1,True,Old
1370,0.0,3.0,0,479,2,1976.0,1370,2,189.0,0,5,7,1090,1976,1976,152000,0,False,Old
912,514.0,3.0,0,216,1,1925.0,1426,3,0.0,240,8,7,912,1918,1998,189950,1,True,Old
1372,0.0,3.0,0,529,3,2008.0,1372,3,0.0,140,5,7,1372,2007,2008,250580,1,False,New
807,702.0,3.0,0,393,3,2003.0,1509,3,0.0,75,5,7,783,2003,2003,180000,0,False,New
1500,0.0,3.0,3,570,2,2004.0,1500,3,210.0,36,5,7,1500,2004,2004,190000,0,False,New
696,720.0,3.0,0,484,1,1999.0,1416,3,0.0,44,5,7,696,1999,1999,155000,0,False,Old
764,862.0,2.0,0,474,2,2003.0,1626,3,106.0,27,5,7,764,2003,2004,173000,1,False,New
1428,0.0,3.0,0,480,3,2007.0,1428,3,103.685261707989,120,5,7,1428,2007,2008,182000,1,False,New
673,709.0,3.0,0,490,1,2000.0,1382,3,0.0,50,5,7,673,2000,2000,165000,0,False,New
778,798.0,3.0,0,614,2,2006.0,1576,3,0.0,50,5,7,770,2006,2006,197000,0,False,New
1504,0.0,1.0,0,457,3,2005.0,1504,3,16.0,0,5,7,1346,2005,2006,181000,1,False,New
1504,0.0,3.0,1,478,3,1996.0,1504,3,196.0,66,5,7,1504,1996,1996,203000,0,False,Old
802,670.0,3.0,0,402,2,1991.0,1472,3,76.0,0,5,7,384,1991,1992,160000,1,False,Old
1506,0.0,2.0,1,440,1,2005.0,1506,3,145.0,20,5,7,1362,2005,2005,213490,0,False,New
1504,0.0,2.0,0,437,3,2005.0,1504,3,14.0,20,5,7,1346,2005,2006,191000,1,False,New
