BsmtFinSF1,GarageArea,GarageFinish,GrLivArea,KitchenQual,MasVnrArea,OpenPorchSF,OverallQual,TotalBsmtSF,YearBuilt
48,774,0,3.2619761913978125,0,452.0,108,9,1822,2007
0,308,1,2.951337518795918,1,0.0,0,5,894,1962
713,432,0,2.984077033902831,1,0.0,0,5,876,1921
1218,857,2,3.227629649571009,0,148.0,59,8,1568,2002
0,843,2,3.1878026387184195,0,150.0,81,7,1541,2001
410,400,2,3.0867156639448825,0,0.0,113,7,1221,2004
643,440,1,3.121887985103681,1,101.0,138,6,1088,1965
604,484,0,3.15106325335375,0,0.0,44,7,696,1999
462,297,0,2.9947569445876283,1,0.0,101,4,462,1973
375,440,0,3.0856472882968564,1,0.0,0,6,735,1941
0,397,3,3.219060332448861,0,92.0,128,7,746,2003
20,460,1,3.1341771075767664,0,256.0,28,6,1362,2005
0,442,0,3.2645817292380777,1,351.0,124,6,756,1966
0,451,0,3.1383026981662816,1,0.0,30,6,1367,1954
144,528,0,3.0499928569201424,0,0.0,36,5,924,1948
680,588,0,3.1559430179718366,0,0.0,180,5,1360,1978
0,400,3,3.1631613749770184,0,0.0,24,7,728,2007
611,497,0,3.085290578230065,0,0.0,27,7,1188,1990
0,625,0,3.0170333392987803,1,0.0,0,5,0,1950
294,528,2,3.087781417809542,0,76.0,234,6,612,2009
0,468,0,3.2489536154957075,1,0.0,0,7,952,1931
241,384,0,3.1357685145678222,1,0.0,130,5,861,1900
0,297,1,3.1335389083702174,0,0.0,65,5,803,1938
697,420,2,2.9283958522567137,0,147.0,0,6,848,2004
871,749,3,3.3544926005894364,0,226.0,0,8,1482,2003
836,396,0,3.0863598306747484,1,0.0,0,4,836,1951
0,398,3,3.150449409460881,0,18.0,20,7,1375,2004
319,396,0,3.313445370426414,1,0.0,0,6,735,1917
0,0,1,3.0784568180532927,1,0.0,98,6,901,1920
1158,499,3,3.219846386024361,2,0.0,59,8,1501,2000
0,308,0,3.0051805125037805,1,0.0,22,6,1012,1920
523,672,3,3.4888326343824003,1,0.0,63,7,824,1920
0,672,0,3.2581581933407944,0,0.0,0,5,360,1900
738,650,3,3.2853322276438846,0,0.0,235,7,1057,2001
483,576,0,2.979548374704095,1,0.0,0,5,911,1976
1260,765,1,3.2643455070500926,2,584.0,68,9,1838,2006
728,924,0,3.214843848047698,0,72.0,0,6,1296,1954
1148,672,0,3.059941888061955,1,0.0,0,5,1148,1959
412,280,0,2.9777236052888476,1,0.0,0,5,950,1971
380,471,2,3.281260687055013,0,125.0,81,8,777,1993
300,440,0,3.2135177569963047,1,0.0,38,6,1065,1923
0,440,3,3.1192558892779365,0,0.0,20,7,1316,2007
0,615,2,3.15896526038341,1,571.0,0,6,1442,1970
734,500,3,3.03261876085072,1,0.0,0,5,1078,1971
932,544,2,3.0492180226701815,3,0.0,0,4,1040,1961
353,527,3,3.151982395457474,0,0.0,0,8,408,2002
0,240,0,3.1427022457376155,1,0.0,0,7,651,1946
354,280,2,3.0265332645232967,1,110.0,0,5,1056,1954
1567,874,3,3.2533380053261065,2,562.0,49,9,1792,2003
897,402,0,3.084933574936716,1,116.0,125,6,1216,1998
0,576,0,3.246005904076029,0,0.0,0,7,596,1920
0,434,3,3.2920344359947364,0,0.0,48,7,847,2004
767,546,2,3.082066934285113,1,0.0,42,6,1208,1977
460,315,0,3.182984967003582,1,180.0,0,5,874,1958
735,240,0,3.0622058088197126,0,0.0,96,4,796,1922
0,420,0,3.0203612826477078,1,0.0,27,5,0,1950
0,273,0,2.9474337218870508,1,0.0,20,5,190,1938
943,600,0,2.9745116927373285,1,0.0,0,5,943,1979
400,603,2,3.2474822606770544,0,0.0,108,7,866,2005
0,779,3,3.4148062795010126,0,165.0,30,9,1393,1999
456,275,2,2.959994838328416,1,1.0,0,5,912,1958
0,308,0,2.94546858513182,1,0.0,45,5,0,1956
266,511,3,3.1261314072619846,0,0.0,68,6,1405,1998
1386,850,1,3.31722734917642,2,103.48106712564544,229,10,2076,2006
56,752,2,3.4032921451582543,0,513.0,98,8,1318,1995
569,240,0,3.2474822606770544,0,252.0,0,5,731,1937
1573,538,1,3.210853365314893,0,481.0,0,8,1573,2006
697,389,3,3.3312247810207323,0,472.0,98,6,1444,1958
0,880,0,3.443262987458695,0,0.0,502,10,1237,1893
0,477,3,3.2713768718940743,1,74.0,112,6,585,1984
1400,541,2,3.1832698436828046,0,244.0,36,7,1525,2000
0,722,3,3.1961761850399735,0,80.0,36,8,1571,2007
0,0,1,2.900913067737669,1,0.0,0,5,796,1910
0,432,2,3.375114684692225,1,0.0,287,5,994,1892
0,402,2,3.16790781000148,0,76.0,0,7,384,1991
648,364,0,2.9822712330395684,1,0.0,0,4,648,1965
0,372,3,3.2643455070500926,1,0.0,40,5,732,2005
663,484,2,3.116939646550756,0,99.0,0,6,1040,1974
0,694,3,3.4220971631317103,2,772.0,84,9,2153,2006
0,200,0,3.053462604925455,1,0.0,0,5,676,1941
0,400,0,3.292256071356476,1,360.0,0,5,960,1952
25,336,0,3.058426024457005,1,0.0,88,5,1144,1963
1056,576,0,3.0236639181977933,1,0.0,56,6,1056,1980
0,0,1,2.8407332346118066,3,0.0,20,4,693,1941
1200,576,2,3.1743505974793798,0,0.0,27,6,1479,1997
1373,482,3,3.216429830876251,0,174.0,53,8,1594,2004
390,352,0,2.936513742478893,1,0.0,0,5,864,1972
1078,750,2,3.1947917577219247,0,36.0,168,8,1566,2008
593,497,0,3.144574207609616,1,0.0,116,6,723,1972
152,539,0,3.082066934285113,1,0.0,23,4,780,1925
0,180,0,3.179838928023187,1,0.0,0,5,939,1920
425,560,1,3.1357685145678222,1,0.0,0,6,884,1931
763,386,0,2.9800033715837464,1,0.0,0,5,955,1966
0,210,0,3.0322157032979815,1,0.0,100,3,1007,1922
1056,572,3,3.0236639181977933,1,0.0,0,5,1056,1955
0,615,2,3.1911714557285586,0,0.0,45,7,756,2005
20,865,2,3.2079035303860515,0,240.0,59,7,1614,2005
0,1390,2,3.3100557377508912,2,306.0,90,8,2042,2008
0,326,1,3.030599721965951,1,0.0,0,5,1073,1921
336,240,0,3.1089031276673134,1,0.0,0,5,672,1948
865,550,3,3.325720858019412,1,0.0,42,6,1205,1970
348,0,1,2.781755374652469,1,0.0,0,4,528,1920
179,300,2,3.060697840353612,1,0.0,0,5,1150,1959
0,400,1,3.1631613749770184,0,0.0,24,6,728,2005
867,588,2,2.9995654882259823,2,210.0,76,7,944,1961
0,564,2,3.1760912590556813,0,0.0,35,6,750,2005
841,375,0,3.125806458139527,1,56.0,0,5,1165,1953
759,398,1,3.2022157758011316,1,0.0,75,6,839,2004
936,836,3,3.3392526340327,2,154.0,102,9,1104,2008
0,573,3,3.1931245983544616,0,0.0,150,7,1560,2003
386,312,0,3.215901813204032,0,224.0,0,5,728,1942
515,286,0,2.7993405494535817,0,0.0,0,4,630,1970
751,504,2,3.0464951643347082,1,174.0,30,6,1143,1976
0,947,2,3.336859820916809,0,350.0,62,7,1063,2006
0,384,0,3.1290450598879582,1,0.0,24,4,560,1910
64,550,3,3.416640507338281,2,0.0,364,8,1184,2007
0,936,3,3.291812687467119,0,0.0,210,7,1026,2005
0,898,3,3.166726055580052,0,72.0,150,8,1468,2008
0,539,0,3.2390490931401916,0,0.0,0,5,0,1977
352,240,0,3.0791812460476247,1,0.0,0,5,768,1946
812,438,3,3.1903316981702914,0,100.0,168,7,1092,2006
0,440,0,3.3483048630481607,1,0.0,188,4,795,1912
0,240,0,3.214578953570499,1,0.0,0,6,1064,1936
521,624,1,2.936513742478893,1,0.0,0,5,864,1958
213,440,1,3.209783014848515,0,0.0,45,7,1208,1984
162,264,0,2.9943171526696366,0,510.0,0,6,483,1972
965,628,2,3.401228167498113,0,293.0,27,7,1210,1989
765,440,0,3.1351326513767748,1,312.0,36,5,765,1970
0,779,0,3.359835482339888,0,0.0,0,8,1128,2002
0,840,2,3.4143046881283317,0,370.0,154,9,1249,2006
288,352,0,2.957607287060095,1,0.0,0,4,907,1957
566,440,1,3.1631613749770184,1,0.0,0,6,855,1976
803,540,1,3.0755469613925306,1,120.0,18,5,1106,1962
322,684,0,2.9334872878487053,1,0.0,0,4,858,1971
1880,516,3,3.3469394626989906,1,1115.0,0,7,2223,1973
0,672,0,3.002166061756508,3,0.0,0,4,1005,1955
0,409,3,3.2776092143040914,0,0.0,46,7,712,1994
906,384,0,3.0170333392987803,1,0.0,0,5,1040,1965
697,461,0,3.1017470739463664,1,324.0,0,5,1268,1960
